"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL447439";"";"MEN-15702";"Small molecule";"";"664.89";"3";"8";"5.69";"99.77";"5";"3";"2";"12";"N";"0.23";"12.48";"10.03";"5.71";"3.13";"3";"MOL";"-1";"49";"8";"3";"2";"664.3989";"-0.87";"BASE";"C41H52N4O4";"Cc1ccc(-c2ccc(C(=O)NC3(C(=O)N[C@H](Cc4ccccc4)C(=O)NCC4CCN(CC5CCOCC5)CC4)CCCC3)cc2)cc1";"UVMPUBARAVZJIL-DIPNUNPCSA-N";"InChI=1S/C41H52N4O4/c1-30-9-11-34(12-10-30)35-13-15-36(16-14-35)38(46)44-41(21-5-6-22-41)40(48)43-37(27-31-7-3-2-4-8-31)39(47)42-28-32-17-23-45(24-18-32)29-33-19-25-49-26-20-33/h2-4,7-16,32-33,37H,5-6,17-29H2,1H3,(H,42,47)(H,43,48)(H,44,46)/t37-/m1/s1";"False";"-1";"['MEN-15702', 'R1C1 Fig 1']";"["4'-Methyl-biphenyl-4-carboxylic acid [1-((R)-2-phenyl-1-{[1-(tetrahydro-pyran-4-ylmethyl)-piperidin-4-ylmethyl]-carbamoyl}-ethylcarbamoyl)-cyclopentyl]-amide", "(R)-4'-methyl-N-(1-(1-oxo-3-phenyl-1-((1-((tetrahydro-2H-pyran-4-yl)methyl)piperidin-4-yl)methylamino)propan-2-ylcarbamoyl)-cyclopentyl)biphenyl-4-carboxamide"]"
"CHEMBL566154";"";"MK-0617";"Small molecule";"";"735.60";"2";"13";"4.19";"172.80";"8";"3";"1";"10";"N";"0.28";"3.07";"4.56";"1.77";"0.13";"3";"MOL";"-1";"49";"12";"3";"2";"734.1293";"-1.14";"ACID";"C32H30Cl2F2N6O6S";"N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCCC(F)(F)C3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1";"QPHITNQZXAUFEI-ICTDUYRTSA-N";"InChI=1S/C32H30Cl2F2N6O6S/c33-24-15-38-16-25(34)28(24)30(44)39-21-7-5-19(6-8-21)12-26(31(45)46)40-29(43)27-13-22(41-10-2-9-32(35,36)18-41)17-42(27)49(47,48)23-4-1-3-20(11-23)14-37/h1,3-8,11,15-16,22,26-27H,2,9-10,12-13,17-18H2,(H,39,44)(H,40,43)(H,45,46)/t22-,26+,27+/m1/s1";"False";"-1";"['13, MK-0617']";"['(S)-2-((2S,4R)-1-(3-cyanophenylsulfonyl)-4-(3,3-difluoropiperidin-1-yl)pyrrolidine-2-carboxamido)-3-(4-(3,5-dichloroisonicotinamido)phenyl)propanoic acid']"
"CHEMBL273475";"";"MK-17";"Small molecule";"";"302.38";"4";"4";"0.37";"132.81";"3";"6";"1";"8";"N";"0.24";"None";"12.09";"-0.04";"-3.16";"2";"MOL";"-1";"22";"7";"8";"1";"302.1855";"-0.11";"BASE";"C15H22N6O";"N=C(N)NCCC[C@H](NCc1c[nH]c2ccccc12)C(N)=O";"FFEMNDCABCQPCS-ZDUSSCGKSA-N";"InChI=1S/C15H22N6O/c16-14(22)13(6-3-7-19-15(17)18)21-9-10-8-20-12-5-2-1-4-11(10)12/h1-2,4-5,8,13,20-21H,3,6-7,9H2,(H2,16,22)(H4,17,18,19)/t13-/m0/s1";"False";"-1";"['MK-17 (S)']";"['5-(S)-Guanidino-2-[(1H-indol-3-ylmethyl)-amino]-pentanoic acid amide']"
"CHEMBL113765";"";"MEN-11983";"Small molecule";"";"685.83";"1";"1";"5.43";"132.63";"5";"4";"2";"9";"N";"0.16";"10.98";"None";"5.78";"5.78";"5";"MOL";"-1";"51";"10";"4";"2";"685.3264";"0.00";"NEUTRAL";"C41H43N5O5";"O=C(N[C@H]1CCCCN(Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O)OCc1ccccc1";"JVJBHFANFZGBQF-FSEITFBQSA-N";"InChI=1S/C41H43N5O5/c47-38-35(45-41(50)51-28-31-18-8-3-9-19-31)22-12-13-23-46(27-30-16-6-2-7-17-30)40(49)37(24-29-14-4-1-5-15-29)44-39(48)36(43-38)25-32-26-42-34-21-11-10-20-33(32)34/h1-11,14-21,26,35-37,42H,12-13,22-25,27-28H2,(H,43,47)(H,44,48)(H,45,50)/t35-,36-,37-/m0/s1";"False";"-1";"['MEN-11983']";"['[1,3-Dibenzyl-6-(1H-indol-3-ylmethyl)-2,5,8-trioxo-1,4,7triaza-cyclotridec-9-yl]-carbamic acid benzyl ester']"
"CHEMBL424272";"";"MEN-11575";"Small molecule";"";"911.16";"2";"2";"0.21";"340.27";"10";"10";"2";"27";"N";"0.03";"3.81";"17.06";"-1.93";"-4.49";"1";"MOL";"-1";"65";"20";"15";"3";"910.5753";"0.19";"ZWITTERION";"C45H74N12O8";"NC(N)=NCCC[C@@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21";"WWPLRPSWYXMWNI-FCAVIIGPSA-N";"InChI=1S/C45H74N12O8/c46-32(18-13-23-52-44(47)48)39(60)55-33(19-14-24-53-45(49)50)40(61)51-22-12-6-4-2-1-3-5-7-21-38(59)54-34(28-58)41(62)56-27-31-17-9-8-15-29(31)25-36(56)42(63)57-35-20-11-10-16-30(35)26-37(57)43(64)65/h8-9,15,17,30,32-37,58H,1-7,10-14,16,18-28,46H2,(H,51,61)(H,54,59)(H,55,60)(H,64,65)(H4,47,48,52)(H4,49,50,53)/t30-,32+,33-,34-,35-,36+,37-/m0/s1";"False";"-1";"['7 (MEN-11575)']";"['(MEN-11575)H-D-Arg-Arg-Aun-Ser-D-Tic-Oic-OH']"
"CHEMBL1651372";"";"8-MeO-nebularine";"Small molecule";"";"282.26";"1";"1";"-1.55";"122.75";"9";"3";"0";"3";"N";"0.62";"12.45";"1.42";"-1.33";"-1.33";"2";"MOL";"-1";"20";"9";"3";"0";"282.0964";"0.51";"NEUTRAL";"C11H14N4O5";"COc1nc2cncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O";"XKOQIEPJKGRSCH-FDDDBJFASA-N";"InChI=1S/C11H14N4O5/c1-19-11-14-5-2-12-4-13-9(5)15(11)10-8(18)7(17)6(3-16)20-10/h2,4,6-8,10,16-18H,3H2,1H3/t6-,7-,8-,10-/m1/s1";"False";"-1";"['15, 8-MeO-nebularine']";"['(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(8-methoxy-9H-purin-9-yl)tetrahydrofuran-3,4-diol']"
"CHEMBL1222390";"";"Me-Leu-Gly";"Small molecule";"";"202.25";"1";"1";"-0.18";"78.43";"3";"3";"0";"6";"N";"0.56";"4.01";"9.09";"-2.47";"-2.48";"0";"MOL";"-1";"14";"5";"3";"0";"202.1317";"0.44";"ZWITTERION";"C9H18N2O3";"CN[C@@H](CC(C)C)C(=O)NCC(=O)O";"HWKNUXAAHLGUKW-ZETCQYMHSA-N";"InChI=1S/C9H18N2O3/c1-6(2)4-7(10-3)9(14)11-5-8(12)13/h6-7,10H,4-5H2,1-3H3,(H,11,14)(H,12,13)/t7-/m0/s1";"False";"-1";"['Me-Leu-Gly']";"['Me-Leu-Gly']"
"CHEMBL1222165";"";"Met-Met";"Small molecule";"";"280.42";"2";"3";"0.39";"92.42";"5";"3";"0";"9";"N";"0.57";"3.86";"8.42";"-2.08";"-2.11";"0";"MOL";"-1";"17";"5";"4";"0";"280.0915";"-0.10";"ACID";"C10H20N2O3S2";"CSCC[C@H](NC(=O)[C@@H](N)CCSC)C(=O)O";"ZYTPOUNUXRBYGW-YUMQZZPRSA-N";"InChI=1S/C10H20N2O3S2/c1-16-5-3-7(11)9(13)12-8(10(14)15)4-6-17-2/h7-8H,3-6,11H2,1-2H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1";"False";"-1";"['Met-Met', 'Met-Met']";"['Met-Met', '(S)-2-((S)-2-amino-4-(methylthio)butanamido)-4-(methylthio)butanoic acid']"
"CHEMBL8676";"";"MK-28";"Small molecule";"";"317.44";"4";"4";"0.50";"117.02";"3";"5";"0";"8";"N";"0.27";"None";"12.10";"1.01";"-2.86";"1";"MOL";"-1";"23";"6";"7";"1";"317.2216";"0.25";"BASE";"C17H27N5O";"N=C(N)NCCC[C@H](NCC1CCc2ccccc2C1)C(N)=O";"WXNIDMDUUHBNTE-CVRLYYSRSA-N";"InChI=1S/C17H27N5O/c18-16(23)15(6-3-9-21-17(19)20)22-11-12-7-8-13-4-1-2-5-14(13)10-12/h1-2,4-5,12,15,22H,3,6-11H2,(H2,18,23)(H4,19,20,21)/t12?,15-/m0/s1";"False";"-1";"['MK-28 (S)']";"['(S)-5-Guanidino-2-[(1,2,3,4-tetrahydro-naphthalen-2-ylmethyl)-amino]-pentanoic acid amide']"
"CHEMBL228451";"";"MK-056";"Small molecule";"";"405.59";"4";"26";"3.52";"70.23";"3";"3";"0";"6";"N";"0.64";"9.89";"None";"3.34";"3.34";"2";"MOL";"-1";"27";"5";"3";"0";"405.1545";"-1.45";"NEUTRAL";"C20H27N3O2S2";"CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(C)(=O)=O)cc2)cc1";"LOMAEJPLJSUBML-UHFFFAOYSA-N";"InChI=1S/C20H27N3O2S2/c1-20(2,3)17-9-5-15(6-10-17)13-21-19(26)22-14-16-7-11-18(12-8-16)23-27(4,24)25/h5-12,23H,13-14H2,1-4H3,(H2,21,22,26)";"False";"-1";"['3 (MK-056)', '2', '17c', '2', '1', '1', '1 (MK-056)', '1', '14 (MK-056)', '6f', '1', 'MK-056; 2']";"['N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-(4-((3-(4-tert-butylbenzyl)thioureido)methyl)phenyl)methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-(4-((3-(4-tert-butylbenzyl)thioureido)methyl)phenyl)methanesulfonamide', 'N-(4-((3-(4-tert-butylbenzyl)thioureido)methyl)phenyl)methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', 'N-{4-[3-(4-tert-Butyl-benzyl)-thioureidomethyl]-phenyl}-methanesulfonamide', '1-(4-(methylsulfonamido)benzyl)-3-(4-tert-butylbenzyl)thiourea', 'N-(4-((3-(4-(tert-butyl)benzyl)thioureido)methyl)phenyl)methanesulfonamide']"
"CHEMBL2104353";"HOMARYLAMINE";"HOMARILAMINA|HOMARYLAMINE|MDMPEA|MK-71|N-METHYLHOMOPIPERONYLAMINE";"Small molecule";"2.0";"179.22";"None";"None";"1.18";"30.49";"3";"1";"0";"3";"Y";"0.76";"None";"10.05";"1.44";"-1.11";"1";"MOL";"0";"13";"3";"1";"0";"179.0946";"0.30";"BASE";"C10H13NO2";"CNCCc1ccc2c(c1)OCO2";"OPJOMVMFYOUDPK-UHFFFAOYSA-N";"InChI=1S/C10H13NO2/c1-11-5-4-8-2-3-9-10(6-8)13-7-12-9/h2-3,6,11H,4-5,7H2,1H3";"False";"0";"['HOMARYLAMINE']";"['HOMARYLAMINE']"
"CHEMBL2108088";"SURFOMER";"AOM-A|AOMA|SURFOMER|SURFOMERE|SURFOMERO";"Small molecule";"2.0";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";"";"";"False";"0";"['SURFOMER']";"['SURFOMER']"
"CHEMBL2108261";"CARBOMER 934";"CARBOMER 934|CARBOMER-934|CARBOPOL 5984|CARBOPOL 5984 POLYMER|CARBOPOL 934 POLYMER|FLOGEL 700";"Small molecule";"-1.0";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";"";"";"False";"0";"['CARBOMER 934']";"['CARBOMER 934']"
"CHEMBL541591";"DIZOCILPINE HYDROCHLORIDE";"MK-801";"Small molecule";"";"257.76";"3";"3";"3.15";"12.03";"1";"1";"0";"0";"N";"0.72";"None";"8.02";"3.31";"2.60";"2";"MOL";"-1";"17";"1";"1";"0";"221.1204";"1.10";"NEUTRAL";"C16H16ClN";"C[C@]12N[C@H](Cc3ccccc31)c1ccccc12.Cl";"NACZHJPKVMBAFY-RCPFAERMSA-N";"InChI=1S/C16H15N.ClH/c1-16-13-8-4-2-6-11(13)10-15(17-16)12-7-3-5-9-14(12)16;/h2-9,15,17H,10H2,1H3;1H/t15-,16+;/m1./s1";"False";"-1";"['MK-801']";"['1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2(7),3,5,10,12,14-hexaene HCl']"
"CHEMBL1813114";"";"MK-5710";"Small molecule";"";"470.53";"12";"34";"3.30";"90.78";"5";"1";"0";"4";"N";"0.59";"12.53";"1.35";"2.76";"2.76";"3";"MOL";"-1";"35";"9";"1";"0";"470.2066";"-0.94";"NEUTRAL";"C26H26N6O3";"C[C@@]12CN(C(=O)Nc3ccnn3-c3ccccc3)CCN1C(=O)N([C@H]1C[C@@H]1c1ccccc1)C2=O";"SWQLTIWVDZKVMH-SWYRRKHMSA-N";"InChI=1S/C26H26N6O3/c1-26-17-29(24(34)28-22-12-13-27-32(22)19-10-6-3-7-11-19)14-15-30(26)25(35)31(23(26)33)21-16-20(21)18-8-4-2-5-9-18/h2-13,20-21H,14-17H2,1H3,(H,28,34)/t20-,21+,26+/m1/s1";"False";"-1";"['47, MK-5710']";"['(8aS)-8a-methyl-1,3-dioxo-2-[(1S,2R)-2-phenylcyclopropyl]-N-(1-phenyl-1H-pyrazol-5-yl)hexahydro-imidazo[1,5-a]pyrazine-7(1H)-carboxamide']"
"CHEMBL2113644";"";"MK-50";"Small molecule";"";"397.52";"4";"4";"4.64";"48.13";"2";"2";"0";"6";"N";"0.50";"None";"8.32";"4.53";"3.56";"4";"MOL";"-1";"30";"4";"2";"0";"397.2154";"-0.80";"NEUTRAL";"C26H27N3O";"O=C(NCc1ccc2ccccc2c1)[C@H]1CCCN1CCc1c[nH]c2ccccc12";"KYHOUNVEHRNHKW-RUZDIDTESA-N";"InChI=1S/C26H27N3O/c30-26(28-17-19-11-12-20-6-1-2-7-21(20)16-19)25-10-5-14-29(25)15-13-22-18-27-24-9-4-3-8-23(22)24/h1-4,6-9,11-12,16,18,25,27H,5,10,13-15,17H2,(H,28,30)/t25-/m1/s1";"False";"-1";"['MK-50 (R)']";"['1-[2-(1H-Indol-3-yl)-ethyl]-2-[(naphthalen-2-ylmethyl)-carbamoyl]-pyrrolidinium']"
"CHEMBL1222387";"";"Me-Leu-Leu";"Small molecule";"";"258.36";"1";"2";"1.24";"78.43";"3";"3";"0";"8";"N";"0.61";"4.15";"9.09";"-0.65";"-0.65";"0";"MOL";"-1";"18";"5";"3";"0";"258.1943";"0.46";"ZWITTERION";"C13H26N2O3";"CN[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O";"QOQRJGRMHFJVMP-QWRGUYRKSA-N";"InChI=1S/C13H26N2O3/c1-8(2)6-10(14-5)12(16)15-11(13(17)18)7-9(3)4/h8-11,14H,6-7H2,1-5H3,(H,15,16)(H,17,18)/t10-,11-/m0/s1";"False";"-1";"['Me-Leu-Leu']";"['Me-Leu-Leu']"
"CHEMBL141837";"PENTISOMIDE";"CM-7857|ME-3202|PENTICAINIDE|PENTISOMIDA|PENTISOMIDE|PROPISOMIDE|Pentisomide";"Small molecule";"2.0";"319.49";"1";"3";"3.36";"59.22";"3";"1";"0";"9";"N";"0.76";"None";"10.40";"3.51";"0.63";"1";"MOL";"0";"23";"4";"2";"0";"319.2624";"-0.64";"BASE";"C19H33N3O";"CC(C)CC(CCN(C(C)C)C(C)C)(C(N)=O)c1ccccn1";"ZZOZYGHXNQPIPS-UHFFFAOYSA-N";"InChI=1S/C19H33N3O/c1-14(2)13-19(18(20)23,17-9-7-8-11-21-17)10-12-22(15(3)4)16(5)6/h7-9,11,14-16H,10,12-13H2,1-6H3,(H2,20,23)";"False";"0";"['PENTISOMIDE', '15']";"['PENTISOMIDE', '2-(2-Diisopropylamino-ethyl)-4-methyl-2-pyridin-2-yl-pentanoic acid amide']"
"CHEMBL324106";"";"MEN-11733";"Small molecule";"";"565.67";"1";"1";"2.56";"132.19";"4";"5";"1";"6";"N";"0.25";"10.90";"None";"2.88";"2.88";"4";"MOL";"-1";"42";"9";"5";"1";"565.2689";"0.43";"NEUTRAL";"C33H35N5O4";"O=C1CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N1";"PYDMJPPYNOEKHO-ULNSLHSMSA-N";"InChI=1S/C33H35N5O4/c39-30-16-9-17-34-31(40)27(18-22-10-3-1-4-11-22)37-32(41)28(19-23-12-5-2-6-13-23)38-33(42)29(36-30)20-24-21-35-26-15-8-7-14-25(24)26/h1-8,10-15,21,27-29,35H,9,16-20H2,(H,34,40)(H,36,39)(H,37,41)(H,38,42)/t27-,28+,29+/m1/s1";"False";"-1";"['MEN-11733']";"['3,6-Dibenzyl-9-(1H-indol-3-ylmethyl)-1,4,7,10tetraaza-cyclotetradecane-2,5,8,11-tetraone']"
"CHEMBL1159697";"";"MK-54";"Small molecule";"";"439.56";"4";"4";"4.14";"105.53";"3";"4";"0";"9";"N";"0.18";"12.76";"11.20";"3.90";"1.02";"4";"MOL";"-1";"33";"6";"6";"1";"439.2372";"-0.29";"BASE";"C27H29N5O";"NC(N)=NCCC[C@H](NCc1ccc2ccccc2c1)C(=O)Nc1cccc2ccccc12";"MOENHRSRNGVQFI-VWLOTQADSA-N";"InChI=1S/C27H29N5O/c28-27(29)30-16-6-13-25(31-18-19-14-15-20-7-1-2-9-22(20)17-19)26(33)32-24-12-5-10-21-8-3-4-11-23(21)24/h1-5,7-12,14-15,17,25,31H,6,13,16,18H2,(H,32,33)(H4,28,29,30)/t25-/m0/s1";"False";"-1";"['MK-54 (S)']";"['N-Alkylaminoacid derivative']"
"CHEMBL52627";"";"MK-499";"Small molecule";"";"467.59";"1";"2";"3.14";"102.66";"6";"2";"0";"3";"N";"0.72";"10.39";"9.10";"1.55";"0.01";"2";"MOL";"-1";"33";"7";"2";"0";"467.1879";"-0.60";"BASE";"C25H29N3O4S";"CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2";"NIYGLRKUBPNXQS-UHFFFAOYSA-N";"InChI=1S/C25H29N3O4S/c1-33(30,31)27-20-5-7-24-22(14-20)23(29)15-25(32-24)8-10-28(11-9-25)21-6-4-18-12-17(16-26)2-3-19(18)13-21/h2-3,5,7,12,14,21,23,27,29H,4,6,8-11,13,15H2,1H3";"False";"-1";"['MK-499', '18, Table 4']";"["N-[1'-(6-cyano-1,2,3,4-tetrahydro-2-naphthalenyl)-4-hydroxyspiro[3,4-dihydro-2H-chromene-2,4'-(hexahydropyridine)]-6-yl]methanesulfonamide", "N-(1'-(6-cyano-1,2,3,4-tetrahydronaphthalen-2-yl)-4-hydroxyspiro[chroman-2,4'-piperidine]-6-yl)methanesulfonamide"]"
"CHEMBL1651381";"";"2-MeS-adenosine";"Small molecule";"";"313.34";"3";"3";"-1.26";"139.54";"10";"4";"0";"3";"N";"0.40";"12.45";"5.17";"-0.78";"-0.79";"2";"MOL";"-1";"21";"9";"5";"0";"313.0845";"0.53";"NEUTRAL";"C11H15N5O4S";"CSc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1";"AJNDEAZTAFKOOO-KQYNXXCUSA-N";"InChI=1S/C11H15N5O4S/c1-21-11-14-8(12)5-9(15-11)16(3-13-5)10-7(19)6(18)4(2-17)20-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2,12,14,15)/t4-,6-,7-,10-/m1/s1";"False";"-1";"['22, 2-MeS-adenosine', 'MeSAdo']";"['(2R,3R,4S,5R)-2-(6-amino-2-(methylthio)-9H-purin-9-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol', '2-methylthioadenosine']"
"CHEMBL25448";"";"MK-386";"Small molecule";"";"415.71";"2";"8";"7.17";"20.31";"1";"0";"1";"5";"N";"0.47";"None";"None";"6.98";"6.98";"0";"MOL";"-1";"30";"2";"0";"1";"415.3814";"1.71";"NEUTRAL";"C28H49NO";"CC(C)CCCC(C)[C@H]1CCC2C3C(CC[C@@]21C)[C@@]1(C)CCC(=O)N(C)C1C[C@@H]3C";"XUTZDXHKQDPUMA-RTHGOUKRSA-N";"InChI=1S/C28H49NO/c1-18(2)9-8-10-19(3)21-11-12-22-26-20(4)17-24-28(6,16-14-25(30)29(24)7)23(26)13-15-27(21,22)5/h18-24,26H,8-17H2,1-7H3/t19?,20-,21+,22?,23?,24?,26?,27+,28+/m0/s1";"False";"-1";"['3 (MK-386)', 'MK-386', '12a', 'MK-386']";"['(4aR,6aR,10S)-7-(1,5-Dimethyl-hexyl)-1,4a,6a,10-tetramethyl-hexadecahydro-indeno[5,4-f]quinolin-2-one', '(4aR,6aR,7R,10S)-7-(1,5-Dimethyl-hexyl)-1,4a,6a,10-tetramethyl-hexadecahydro-indeno[5,4-f]quinolin-2-one', '(4aR,6aR,10S)-7-(1,5-Dimethyl-hexyl)-1,4a,6a,10-tetramethyl-hexadecahydro-indeno[5,4-f]quinolin-2-one', '(4aR,6aR,7R,10S)-7-(1,5-Dimethyl-hexyl)-1,4a,6a,10-tetramethyl-hexadecahydro-indeno[5,4-f]quinolin-2-one']"
"CHEMBL1164";"METHICILLIN SODIUM";"SQ-16123|Staphcillin";"Small molecule";"";"402.40";"12";"39";"0.95";"105.17";"6";"2";"0";"5";"N";"0.73";"2.96";"None";"0.79";"-2.69";"1";"MOL";"-1";"26";"8";"2";"0";"380.1042";"0.43";"ACID";"C17H19N2NaO6S";"COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+]";"MGFZNWDWOKASQZ-UMLIZJHQSA-M";"InChI=1S/C17H20N2O6S.Na/c1-17(2)12(16(22)23)19-14(21)11(15(19)26-17)18-13(20)10-8(24-3)6-5-7-9(10)25-4;/h5-7,11-12,15H,1-4H3,(H,18,20)(H,22,23);/q;+1/p-1/t11-,12+,15-;/m1./s1";"False";"-1";"['Methicillin Sodium', '1a', 'Methicillin Sodium', 'SID89856155', 'Methicillin Sodium', 'Methicillin Sodium', 'METHICILLIN SODIUM', 'Methicillin sodium', 'Methicillin Sodium', 'MET']";"['Sodium salt (2S,5R,6R)-6-(2,6-dimethoxy-benzoylamino)-3,3-dimethyl-7-oxo-4-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate', 'Sodium salt 6-(2,6-dimethoxy-benzoylamino)-3,3-dimethyl-7-oxo-4-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate', 'Methicillin Sodium', 'SID89856155', 'Methicillin Sodium', 'Sodium salt 6-(2,6-dimethoxy-benzoylamino)-3,3-dimethyl-7-oxo-4-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate', 'METHICILLIN SODIUM', 'Methicillin sodium', 'Methicillin Sodium', 'Methicillin sodium']"
